iter	Passed	Remaining
889	1566	193
890	1568	191
891	1569	190
892	1570	188
893	1571	186
894	1572	184
895	1574	182
896	1575	180
897	1576	179
898	1577	177
899	1578	175
900	1580	173
901	1581	171
902	1582	170
903	1583	168
904	1585	166
905	1586	164
906	1587	162
907	1588	160
908	1590	159
909	1591	157
910	1592	155
911	1593	153
912	1595	151
913	1596	150
914	1597	148
915	1598	146
916	1599	144
917	1601	143
918	1602	141
919	1603	139
920	1604	137
921	1605	135
922	1606	134
923	1607	132
924	1609	130
925	1610	128
926	1611	126
927	1612	125
928	1614	123
929	1615	121
930	1616	119
931	1617	118
932	1618	116
933	1620	114
934	1621	112
935	1622	110
936	1623	109
937	1624	107
938	1626	105
939	1627	103
940	1628	102
941	1629	100
942	1630	98
943	1632	96
944	1633	95
945	1634	93
946	1635	91
947	1636	89
948	1638	88
949	1639	86
950	1640	84
951	1641	82
952	1642	81
953	1644	79
954	1645	77
955	1646	75
956	1647	74
957	1648	72
958	1650	70
959	1651	68
960	1652	67
961	1653	65
962	1654	63
963	1656	61
964	1657	60
965	1658	58
966	1659	56
967	1660	54
968	1661	53
969	1663	51
970	1664	49
971	1665	47
972	1666	46
973	1667	44
974	1669	42
975	1670	41
976	1671	39
977	1672	37
978	1673	35
979	1675	34
980	1676	32
981	1677	30
982	1678	29
983	1679	27
984	1681	25
985	1682	23
986	1683	22
987	1684	20
988	1685	18
989	1687	17
990	1688	15
991	1689	13
992	1690	11
993	1691	10
994	1693	8
995	1694	6
996	1695	5
997	1696	3
998	1697	1
999	1699	0
